no;state;year;sid;cdl;pre2_cdl;caselaw;anywhere;assumption;civil;homicide_c;robbery_gun_r;jhcitizen_c;jhpolice_c;homicide;robbery;assault;burglary;larceny;motor;murder;hc_felonywsus;jhcitizen;jhpolice;population;police;unemployrt;income;blackm_15_24;whitem_15_24;blackm_25_44;whitem_25_44;prisoner;lagprisoner;poverty;exp_subsidy;exp_pubwelfare;northeast;midwest;south;west;effyear;r20001;r20002;r20003;r20004;r20011;r20012;r20013;r20014;r20021;r20022;r20023;r20024;r20031;r20032;r20033;r20034;r20041;r20042;r20043;r20044;r20051;r20052;r20053;r20054;r20061;r20062;r20063;r20064;r20071;r20072;r20073;r20074;r20081;r20082;r20083;r20084;r20091;r20092;r20093;r20094;r20101;r20102;r20103;r20104;trend_1;trend_2;trend_3;trend_4;trend_5;trend_6;trend_7;trend_8;trend_9;trend_10;trend_11;trend_12;trend_13;trend_14;trend_15;trend_16;trend_17;trend_18;trend_19;trend_20;trend_21;trend_22;trend_23;trend_24;trend_25;trend_26;trend_27;trend_28;trend_29;trend_30;trend_31;trend_32;trend_33;trend_34;trend_35;trend_36;trend_37;trend_38;trend_39;trend_40;trend_41;trend_42;trend_43;trend_44;trend_45;trend_46;trend_47;trend_48;trend_49;trend_50;trend_51;l_murder;l_homicide;l_homicide_c;l_robbery;l_assault;l_burglary;l_larceny;l_motor;l_robbery_gun;l_jhcitizen;l_jhpolice;l_hc_felonywsus;l_robbery_gun_r;l_pop;l_police;l_income;l_prisoner;l_lagprisoner;l_exp_subsidy;l_exp_pubwelfare;popwt;treatment_date;post;treated
1;Alabama;2000;1;0;0;0;0;0;0;329;0.210803226;1;0;7.593978405;131.6135712;325.6177979;930.920166;2940.623779;295.6573486;6.532206535;0.484722018;0.046164002;0.023082001;4332380;348.8382829;4.099999905;44851;2.222242832;4.694809914;3.471694469;10.41443729;605.3255005;564.2741089;14.70598147;212.2611694;1018.497009;0;0;1;0;2006;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.876744747;2.027355618;5.796057701;4.879869938;5.785724163;6.836173534;7.986377239;5.689201355;-1.556830168;-3.075554848;-3.76870203;-0.724179685;-1.556830168;15.28162766;5.854608536;10.71110153;6.405766487;6.335540295;5.35781765;6.926083088;4499293;2006;0;0
2;Alabama;2001;1;0;0;0;0;0;0;379;0.214362457;2;0;8.713442802;128.3795929;281.6350403;934.3845825;2758.689941;290.1185608;7.494940281;0.666727841;0.068971843;0.022990614;4349601;351.8253743;4.699999809;43301;2.249953508;4.700201035;3.440246582;10.18638229;614.7920532;605.3255005;15.75020329;221.8902893;1068.928589;0;0;1;0;2006;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.014228106;2.164866983;5.93753624;4.854991436;5.640612125;6.839888096;7.922511101;5.670289516;-1.540086985;-2.674057007;-3.772669315;-0.405373365;-1.540086985;15.28559494;5.863134861;10.67593098;6.421284199;6.405766487;5.402183056;6.974411964;4499293;2006;0;0
3;Alabama;2002;1;0;0;0;0;0;0;303;0.4240188;3;2;6.933287621;136.4233093;274.6314087;974.2756958;2835.829102;317.8328857;6.406998634;0.594935596;0.09152855;0.068646416;4370221;311.4945446;5.400000095;45573;2.258260965;4.685461044;3.403992653;9.957734108;640.1049194;614.7920532;15.55655881;257.7263794;1139.962646;0;0;1;0;2006;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.857390881;1.936334105;5.713732719;4.915762424;5.615429878;6.881694317;7.950089455;5.761525631;-0.857977509;-2.391104221;-2.678786278;-0.51930213;-0.857977509;15.29032421;5.741381645;10.72707081;6.461632252;6.421284199;5.551898479;7.038750648;4499293;2006;0;0
4;Alabama;2003;1;0;0;0;0;0;0;299;0.245445505;2;1;6.818006516;137.6826935;258.5369873;986.1026611;2828.423828;341.0599365;6.567176819;0.319237769;0.068408094;0.045605395;4385446;348.5620391;5.5;44165;2.292948008;4.688166142;3.38321352;9.791410446;636.4916992;640.1049194;15.44780166;270.9400024;1224.665894;0;0;1;0;2006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.882084012;1.919567129;5.700443745;4.924951553;5.555038929;6.893760681;7.947474957;5.83205843;-1.404680371;-2.68226409;-3.087729216;-1.141819119;-1.404680371;15.29380226;5.853816032;10.69568825;6.455971241;6.461632252;5.60189724;7.110423565;4499293;2006;0;0
5;Alabama;2004;1;0;1;0;0;0;0;254;0.261006296;3;0;5.753689289;136.8653107;255.654068;1011.788513;2800.959229;317.6761169;5.595122814;0.226523191;0.090609275;0.022652319;4414559;327.9149741;5.099999905;42280;2.291327477;4.661734104;3.358840704;9.599033356;586.4005737;636.4916992;16.252654;264.9615479;1194.543579;0;0;1;0;2006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.721895337;1.749841265;5.537334442;4.918997288;5.54382515;6.919475079;7.937717438;5.761032581;-1.343210697;-2.401198626;-3.78749299;-1.484907985;-1.343210697;15.30041885;5.792754173;10.65206909;6.374002934;6.455971241;5.579584599;7.085519314;4499293;2006;0;0
6;Alabama;2005;1;0;1;0;0;0;0;374;0.187373966;0;1;8.41857338;145.1190948;254.2003937;978.5578613;2718.703857;295.7755432;6.932942867;0.562738836;0.022509554;0.045019109;4442558;287.8071597;3.900000095;41491;2.312046289;4.635865211;3.357209921;9.449510574;627.74646;586.4005737;16.87298174;78.91187286;1103.141846;0;0;1;0;2006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.936284423;2.130440382;5.924255848;4.977554798;5.538123131;6.886079788;7.907910347;5.689600945;-1.674648881;-3.793815374;-3.100668192;-0.574939609;-1.674648881;15.30674076;5.662290573;10.63323212;6.442136288;6.374002934;4.368331909;7.005917549;4499293;2006;0;0
7;Alabama;2006;1;0.580821931;0;0;1;0;1;368;0.215277776;3;3;8.00168705;153.4236603;227.8741455;968.9216919;2645.123047;322.9376526;6.784039021;0.456618041;0.086974859;0.086974859;4599030;341.3111026;3.599999905;41041;2.269239426;4.483489037;3.292868376;9.088829994;614.06427;627.74646;16.16767014;83.17576599;1061.683716;0;0;1;0;2006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.914572597;2.079652401;5.908082962;5.033203125;5.42879343;6.876183987;7.88047266;5.777459145;-1.535826087;-2.442136288;-2.442136288;-0.78390801;-1.535826087;15.34135628;5.832794189;10.62232685;6.420099735;6.442136288;4.420956135;6.967611313;4499293;2006;1;1
8;Alabama;2007;1;1;0;0;1;0;1;392;0.213320717;3;4;8.547940254;161.4077911;248.3481903;989.1188354;2711.615967;310.4952087;7.653895855;0.719597042;0.08722388;0.109029852;4585900;356.4621994;3.5;44388;2.289801359;4.504066944;3.338494062;9.052967072;641.3571777;614.06427;16.35877363;93.83240509;1093.531494;0;0;1;0;2006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.035214663;2.145690348;5.971261978;5.08393383;5.514831543;6.896814346;7.90530014;5.73816824;-1.544958472;-2.439277172;-2.216133595;-0.329063892;-1.544958472;15.33849716;5.876228333;10.7007246;6.46358633;6.420099735;4.541510105;6.997167587;4499293;2006;1;1
9;Alabama;2008;1;1;0;0;1;0;1;357;0.317810446;3;1;7.718327999;158.7770386;254.8994141;1089.192261;2734.08252;290.8317871;7.264308929;0.540499151;0.086479865;0.043239933;4625354;349.6381034;4.900000095;45039;2.285014391;4.473387241;3.351938009;8.916204453;659.5819702;641.3571777;15.60691355;91.43205261;1003.311646;0;0;1;0;2006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.982973218;2.04359776;5.877735615;5.067501068;5.540869236;6.993191719;7.913551331;5.672745228;-1.146300197;-2.447843552;-3.140990734;-0.61526221;-1.146300197;15.34706306;5.856898785;10.71528435;6.491606236;6.46358633;4.515595913;6.911061287;4499293;2006;1;1
10;Alabama;2009;1;1;0;0;1;0;1;322;0.296727866;0;0;6.94960022;135.2150421;282.796936;1054.18103;2548.302002;239.3727264;6.863269806;0.496400028;0.021582609;0.021582609;4633360;365.1130065;9.899999619;40640;2.277763844;4.455017567;3.386786222;8.858172417;685.9816895;659.5819702;17.37881365;103.8395767;1195.941772;0;0;1;0;2006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.926183939;1.938684136;5.774551392;4.90686655;5.644729137;6.960519314;7.843182564;5.478022099;-1.214939833;-3.835867405;-3.835867405;-0.700373173;-1.214939833;15.34879303;5.900207043;10.61250782;6.530850887;6.491606236;4.642847061;7.086689472;4499293;2006;1;1
